Strain,Treatment,Label,Population,Timepoint,Isolate,Block,W
cI26 P2 T3 1,cI26,P2-T3-1-R,2,3,1,1,0.984136679
cI26 P3 T3 1,cI26,P3-T3-1-R,3,3,1,1,0.978402365
2811 P1 T25 1,2811,P1-T25-1-P,1,25,1,1,0.572619151
2811 P1 T30 1,2811,P1-T30-1-S,1,30,1,1,1.152236533
2811 P2 T15 1,2811,P2-T15-1-P,2,15,1,1,0.31662134
2811 P2 T20 1,2811,P2-T20-1-P,2,20,1,1,0.366922286
2811 P2 T25 10,2811,P2-T25-10-P,2,25,10,1,0.546396521
2811 P2 T25 9,2811,P2-T25-9-R,2,25,9,1,0.691551524
2811 P3 T5 1,2811,P3-T5-1-P,3,5,1,1,0.583108031
2811 P3 T15 2,2811,P3-T15-2-R,3,15,2,1,0.405168223
JB42,Ftest,JB42-P,Ftest,Ftest,Ftest,1,0.34220719
JB48,Ftest,JB48-P,Ftest,Ftest,Ftest,1,0.418508275
cI26 P1 T3 2,cI26,P1-T3-2-R,1,3,2,2,0.93303643
cI26 P2 T3 1,cI26,P2-T3-1-R,2,3,1,2,0.978913905
cI26 P3 T3 1,cI26,P3-T3-1-R,3,3,1,2,0.973806672
2811 P1 T30 1,2811,P1-T30-1-S,1,30,1,2,1.046385867
2811 P2 T20 1,2811,P2-T20-1-P,2,20,1,2,0.667576039
2811 P2 T25 10,2811,P2-T25-10-P,2,25,10,2,0.678473762
2811 P2 T25 9,2811,P2-T25-9-R,2,25,9,2,0.595814086
2811 P3 T5 1,2811,P3-T5-1-P,3,5,1,2,0.669346547
2811 P3 T15 2,2811,P3-T15-2-R,3,15,2,2,0.311737728
JB39,Ftest,JB39-P,Ftest,Ftest,Ftest,2,0.221639318
JB42,Ftest,JB42-P,Ftest,Ftest,Ftest,2,0.598568158
JB43,Ftest,JB43-P,Ftest,Ftest,Ftest,2,0.627099098
JB48,Ftest,JB48-P,Ftest,Ftest,Ftest,2,0.237224933
cI26 P1 T3 2,cI26,P1-T3-2-R,1,3,2,3,0.95790345
cI26 P2 T3 1,cI26,P2-T3-1-R,2,3,1,3,0.979188308
cI26 P3 T3 1,cI26,P3-T3-1-R,3,3,1,3,1.009800651
2811 P1 T25 1,2811,P1-T25-1-P,1,25,1,3,0.478405533
2811 P1 T30 1,2811,P1-T30-1-S,1,30,1,3,0.968984423
2811 P2 T15 1,2811,P2-T15-1-P,2,15,1,3,0.372669636
2811 P2 T20 1,2811,P2-T20-1-P,2,20,1,3,0.677327288
2811 P2 T25 10,2811,P2-T25-10-P,2,25,10,3,0.687836982
2811 P2 T25 9,2811,P2-T25-9-R,2,25,9,3,0.652611971
2811 P3 T5 1,2811,P3-T5-1-P,3,5,1,3,0.673288513
2811 P3 T15 2,2811,P3-T15-2-R,3,15,2,3,0.385187486
JB39,Ftest,JB39-P,Ftest,Ftest,Ftest,3,0.585709383
JB42,Ftest,JB42-P,Ftest,Ftest,Ftest,3,0.405358181
JB43,Ftest,JB43-P,Ftest,Ftest,Ftest,3,0.34794728
JB48,Ftest,JB48-P,Ftest,Ftest,Ftest,3,0.528649927
JB47,Ftest,JB47-R,Ftest,Ftest,Ftest,3,0.408999231
cI26 P1 T3 2,cI26,P1-T3-2-R,1,3,2,4,0.956636462
2811 P1 T25 1,2811,P1-T25-1-P,1,25,1,4,0.405974269
2811 P2 T15 1,2811,P2-T15-1-P,2,15,1,4,0.392476628
JB39,Ftest,JB39-P,Ftest,Ftest,Ftest,4,0.389928802
JB42,Ftest,JB42-P,Ftest,Ftest,Ftest,4,0.405898552
JB43,Ftest,JB43-P,Ftest,Ftest,Ftest,4,0.443260453
JB47,Ftest,JB47-R,Ftest,Ftest,Ftest,4,0.428183159
JB47,Ftest,JB47-R,Ftest,Ftest,Ftest,5,0.523729599
