Phage,Host,EOP
2811,P1-T25-1-P,0.184615385
2811,P1-T25-1-P,0.191666667
2811,P1-T25-1-P,0.092307692
2811,P1-T25-1-P,0.104166667
2811-P1-T25,P1-T25-1-P,0.545454545
2811-P1-T25,P1-T25-1-P,0.625
2811-P1-T25,P1-T25-1-P,0.333333333
2811-P1-T25,P1-T25-1-P,0.3125
2811,P2-T15-1-P,0.4
2811,P2-T15-1-P,0.228571429
2811,P2-T15-1-P,0.405405405
2811,P2-T15-1-P,0.194444444
2811-P2-T15,P2-T15-1-P,1.333333333
2811-P2-T15,P2-T15-1-P,0.464285714
2811-P2-T15,P2-T15-1-P,0.833333333
2811-P2-T15,P2-T15-1-P,0.846153846
2811,P3-T5-1-P,0.215
2811,P3-T5-1-P,0.203333333
2811,P3-T5-1-P,0.160869565
2811,P3-T5-1-P,0.151724138
2811-P3-T5,P3-T5-1-P,0.728571429
2811-P3-T5,P3-T5-1-P,1.016666667
2811-P3-T5,P3-T5-1-P,0.33
2811-P3-T5,P3-T5-1-P,0.6625
