Host,Rep,Fitness,PercentGrowth,RelativeGrowth
wt,1,0.28402006,28.402006,1.28402006
wt,2,0.3735415,37.35415,1.3735415
wt,3,0.60647065,60.647065,1.60647065
wt,4,0.49834932,49.834932,1.49834932
malT-,1,0.41670211,41.670211,1.41670211
malT-,2,0.26369283,26.369283,1.26369283
malT-,3,0.30549853,30.549853,1.30549853
malT-,4,0.41601011,41.601011,1.41601011
malT-ompF-,1,0.91472517,91.472517,1.91472517
malT-ompF-,2,0.75833454,75.833454,1.75833454
malT-ompF-,3,1.55404158,155.404158,2.55404158
malT-ompF-,4,0.85657412,85.657412,1.85657412
